Total Records,,Delay Rate,,,,,,,,,,
25713,,35.37%,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Delays,,,,,,,,--- 1. LINE PERFORMANCE ---,,,,
9094,,,,,,,,Line,Total Incidents,Delayed Incidents,Delay Rate (%),Avg Delay (Min)
OSGOODE TO COLLEGE,2,0,,,,,,,,,,
OSGOODE POCKET,2,12,,,,,,,,,,
NORTH YORK CENTRE,2,0,,,,,,,,,,
MCCOWAN YARD,2,0,,,,,,,,,,
MACDONALD CARTIER EMER,2,0,,,,,,,,,,
LINE 2 BLOOR - DANFORT,2,0,,,,,,,,,,
LINE 2 - BLOOR DANFORT,2,0,,,,,,,,,,
LINE 2 - BLOOR - DANFO,2,0,,,,,,,,,,
LINE 1,2,0,,,,,,,,,,
KIPLING TO KEELE,2,0,,,,,,,,,,
KIPLING TO ISLINGTON S,2,0,,,,,,,,,,
KIPLING STATION (PLATF,2,3,,,,,,,,,,
KIPLING STATION (APPRO,2,0,,,,,,,,,,
KENNEDY BD STATION PL,2,3,,,,,,,,,,
KENNEDY BD STATION (AP,2,3,,,,,,,,,,
KENNEDY BD STATION - P,2,2,,,,,,,,,,
GREENWOOD SHOPS,2,0,,,,,,,,,,
GREENWOOD SHOP,2,0,,,,,,,,,,
FINCH TO ST. CLAIR,2,0,,,,,,,,,,
FINCH TO EGLINTON,2,0,,,,,,,,,,
FINCH STATION- PLAT 1,2,10,,,,,,,,,,
FINCH STATION - PLATFO,2,3,,,,,,,,,,
EGLINTON STATION TO FI,2,0,,,,,,,,,,
EGLINTON BUS TERMINAL,2,0,,,,,,,,,,
EA BLOOR DANFORTH OSSI,2,0,,,,,,,,,,
DON MILLS STATION (LEA,2,4,,,,,,,,,,
DANFORTH DIVISION,2,0,,,,,,,,,,
COLLEGE TO SHEPPARD,2,0,,,,,,,,,,
BAY LOWER,2,0,,,,,,,,,,
AVENUE STATION,2,0,,,,,,,,,,
YOUNGE UNIVERSITY LINE,1,0,,,,,,,,,,
YOUNG-UNIVERSITY-SPADI,1,0,,,,,,,,,,
YORKDLAE STATION,1,0,,,,,,,,,,
YORKDALE TO WILSON,1,65,,,,,,,,,,
YORKDALE TO LAWRENCE W,1,0,,,,,,,,,,
YORK UNIVERISTY TO PIO,1,0,,,,,,,,,,
YORK MILLS TO SHEPPARD,1,0,,,,,,,,,,
YORK MILLS TO EGLINTON,1,0,,,,,,,,,,
YORK MILLS STATION(APP,1,7,,,,,,,,,,
YORK MILLS STATION (EN,1,0,,,,,,,,,,
YONGE/UNIVERSITY LINE,1,0,,,,,,,,,,
YONGE-UNIVERSITY,1,0,,,,,,,,,,
YONGE-UNIVERISTY-SPADI,1,0,,,,,,,,,,
YONGE-UNIVERISTY AND B,1,0,,,,,,,,,,
YONGE-DUNDAS SQUARE,1,0,,,,,,,,,,
YONGE-BLOOR,1,0,,,,,,,,,,
YONGE- UNIVERSTIY AND,1,0,,,,,,,,,,
YONGE- UNIVERSITY AND,1,0,,,,,,,,,,
YONGE UNIVESITY LINE 1,1,0,,,,,,,,,,
YONGE UNIVERVISTY SUBW,1,0,,,,,,,,,,
YONGE UNIVERSITY/ BLOO,1,0,,,,,,,,,,
"YONGE UNIVERSITY, LINE",1,0,,,,,,,,,,
YONGE UNIVERSITY - SPA,1,0,,,,,,,,,,
YONGE UNIVERSITTY - BL,1,0,,,,,,,,,,
YONGE BD STATION (LEAV,1,0,,,,,,,,,,
YONGE AND UNIVERSITY S,1,0,,,,,,,,,,
YONGE - UNIVERSITY/BLO,1,0,,,,,,,,,,
YONGE - UNIVERSITY- SP,1,0,,,,,,,,,,
WOODBINE TO COXWELL,1,0,,,,,,,,,,
WOODBINE STATION TO BR,1,0,,,,,,,,,,
WILSON YARD - NORTH HO,1,0,,,,,,,,,,
WILSON TRAINING CENTRE,1,0,,,,,,,,,,
WILSON T&S BUILDING,1,0,,,,,,,,,,
WILSON T & S,1,0,,,,,,,,,,
WILSON SOUTH HOSTLER,1,0,,,,,,,,,,
WILSON SOUTH HOSLER,1,0,,,,,,,,,,
WILSON HUSTLER ONE,1,0,,,,,,,,,,
WILSON GARAGE,1,0,,,,,,,,,,
WILFRED EMERGENCY EXIT,1,0,,,,,,,,,,
WELLSELEY STATION,1,0,,,,,,,,,,
WELBECK,1,0,,,,,,,,,,
WARDEN TO KENNEDY,1,0,,,,,,,,,,
W/O WARDEN TO E/O KENN,1,64,,,,,,,,,,
VMC STATION- PLAT 2,1,3,,,,,,,,,,
VMC STATION PLAT 2,1,0,,,,,,,,,,
VMC STATION PLAT 1,1,3,,,,,,,,,,
VMC STATION PL 2,1,3,,,,,,,,,,
VMC STATION PL 1,1,3,,,,,,,,,,
VMC STATION (PLATFORM),1,0,,,,,,,,,,
VMC STATION (PLAT 1),1,3,,,,,,,,,,
VMC STATION (ENTERING),1,5,,,,,,,,,,
VMC STATION ( PLAT 2 ),1,3,,,,,,,,,,
VMC STATION - PLAT 1,1,3,,,,,,,,,,
VICTORIA PARK - WARDEN,1,10,,,,,,,,,,
VARIOUS STATIONS - SYS,1,0,,,,,,,,,,
VARIOUS STATIONS,1,0,,,,,,,,,,
VARIOUS LOCATIONS LINE,1,0,,,,,,,,,,
VARIOUS LOCATIONS,1,0,,,,,,,,,,
UNKNOWN LOCATION,1,0,,,,,,,,,,
UNION TOWARDS TO KING,1,0,,,,,,,,,,
UNION TO ST ANDREW,1,15,,,,,,,,,,
UNION TO KING STATIONS,1,0,,,,,,,,,,
UNION TO KING,1,0,,,,,,,,,,
UNION STATION- ST ANDR,1,4,,,,,,,,,,
UNION STATION TOWARD S,1,10,,,,,,,,,,
UNION STATION TOWARD K,1,10,,,,,,,,,,
